1	60
2	60
3	60
4	60
5	60
6	60
7	60
8	60
9	60
10	60
11	60
12	60
13	60
14	60
15	60
16	60
17	60
18	60
19	60
20	60
21	60
22	60
23	60
24	60
25	60
26	40
27	40
28	40
29	40
30	40
31	40
32	40
33	40
34	40
35	40
36	40
37	40
38	40
39	40
40	40
41	40
42	40
43	40
44	40
45	40
46	40
47	40
48	40
49	40
50	40
51	25
52	25
53	25
54	25
55	25
56	25
57	25
58	25
59	25
60	25
61	25
62	25
63	25
64	25
65	25
66	25
67	25
68	25
69	25
70	25
71	25
72	25
73	25
74	25
75	25
76	12
77	12
78	12
79	12
80	12
81	12
82	12
83	12
84	15
85	15
86	15
87	15
88	15
89	15
90	15
91	15
92	15
93	13
94	13
95	13
96	13
97	13
98	13
99	13
100	5
101	5
102	5
103	5
104	5
105	3
106	3
107	3
108	1
